meno	datum menovania	typ menovania
JUDr. Stanislav Libant 	21.1.2000	bez obmedzenia
JUDr. Silvia Lipovská 	19.5.1998	bez obmedzenia
JUDr. Ladislav Liščák 	12.12.1996	4 - ročný mandát
JUDr. Ladislav Liščák 	6.12.2000	bez obmedzenia
Mgr. Oľga Lišková 	6.12.2000	bez obmedzenia
Mgr. Oľga Líšková 	12.12.1996	4 - ročný mandát
JUDr. Zuzana Lohnertová 	12.12.1996	4 - ročný mandát
JUDr. Zuzana Lohnertová 	6.12.2000	bez obmedzenia
Mgr. Martin Lopuch 	1.2.1996	n/a
JUDr. Martin Lopuch 	21.1.2000	bez obmedzenia
Mgr. Ladislav Lóška 	19.5.1998	bez obmedzenia
Mgr. Pavel Lukáč 	20.3.1996	n/a
JUDr. Andrej Lukáč 	12.12.1996	bez obmedzenia
Mgr. Pavel Lukáč 	14.3.2000	bez obmedzenia
JUDr. Dana Macášková 	9.5.2000	4 - ročný mandát
Mgr. Jozef Mačej 	1.7.1996	n/a
Mgr. Jozef Mačej 	15.6.2000	bez obmedzenia
JUDr. Erika Madarászová 	8.7.1998	bez obmedzenia
Mgr. Janette Maďarovú 	17.10.2000	bez obmedzenia
JUDr. Jozefa Machová 	12.12.1996	bez obmedzenia
Mgr. Danku Majdákovú 	17.10.2000	bez obmedzenia
JUDr. Zuzana Mališová 	19.5.1998	bez obmedzenia
Mgr. Daniela Mamráková 	26.3.1998	4 - ročný mandát
Mgr. Katarína Marčeková 	12.12.1996	4 - ročný mandát
Mgr. Katarína Marčeková 	6.12.2000	bez obmedzenia
mjr. Mgr. Marián 	6.12.2000	bez obmedzenia
JUDr. Alžbeta Marková 	12.12.1996	bez obmedzenia
JUDr. Jiří Martaus 	19.5.1998	bez obmedzenia
JUDr. Jana Martinčeková 	6.12.2000	bez obmedzenia
npor. Mgr. Ivan Matel 	26.3.1998	4 - ročný mandát
Mgr. Róbert Matulák 	9.5.2000	4 - ročný mandát
Mgr. Peter Mazöszállasi 	19.5.1998	bez obmedzenia
Mgr. Michal Mazúr 	19.5.1998	bez obmedzenia
Mgr. Ľubica Medvecká 	1.2.1996	n/a
JUDr. Ľubica Medvecká, 	21.1.2000	bez obmedzenia
Mgr. Denisa Mendrejová 	12.12.1996	4 - ročný mandát
Mgr. Denisa Mesárošová 	6.12.2000	bez obmedzenia
JUDr. Marie Mészárosová 	12.12.1996	bez obmedzenia
JUDr. Denisa Mészárosová 	21.1.2000	bez obmedzenia
JUDr. Ľubomíra Meška 	11.2.1997	4 - ročný mandát
JUDr. Viktória Midová 	8.7.1998	bez obmedzenia
JUDr. Soňa Mihaľáková 	8.7.1998	bez obmedzenia
JUDr. Eva Miklošková 	19.5.1998	bez obmedzenia
JUDr. Peter Mikuláš 	12.12.1996	4 - ročný mandát
JUDr. Peter Mikuláš 	6.12.2000	bez obmedzenia
Mgr. Viera Milatová 	1.7.1996	n/a
Mgr. Viera Milatová, 	15.6.2000	bez obmedzenia
Mgr. Slavomíra Mlynarčíková 	12.12.1996	4 - ročný mandát
Mgr. Slavomíra Mlynarčíková 	6.12.2000	bez obmedzenia
Mgr. Ivana MOČKOROVÁ 	10.5.1995	n/a
Mgr. Miroslav Mojto 	20.3.1996	n/a
Mgr. Miroslav Mojto 	14.3.2000	bez obmedzenia
JUDr. Marta Molnárová 	12.12.1996	bez obmedzenia
JUDr. Zlata Mrázová 	19.5.1998	bez obmedzenia
Mgr. Mariana MURÁNSKA 	13.9.1995	n/a
Mgr. Adriana Murínová 	26.3.1998	4 - ročný mandát
Mgr. Jozef Nadzam 	26.3.1998	4 - ročný mandát
JUDr. Mária Nagyová 	12.12.1996	bez obmedzenia
Mgr. Alica Naňová 	9.5.2000	4 - ročný mandát
JUDr. Ľubica Nemcová 	12.12.1996	bez obmedzenia
Anna Nemcsicsová 	12.12.1996	bez obmedzenia
JUDr. Ivana Nemčeková 	8.7.1998	bez obmedzenia
Mgr. Erik Németh 	20.3.1996	n/a
Mgr. Erik Németh 	14.3.2000	bez obmedzenia
Mgr. Adriana Némethová 	1.2.1996	n/a
Mgr. Adriana Némethová 	21.1.2000	bez obmedzenia
Mgr. Ingrid Nováková 	20.3.1996	n/a
Mgr. Ingrid Nováková 	14.3.2000	bez obmedzenia
JUDr. Jana Novotná 	12.12.1996	bez obmedzenia
Mgr. Ľubica Novotná 	15.6.2000	bez obmedzenia
JUDr. Vladimír Novotný 	19.5.1998	bez obmedzenia
JUDr. Katarína Ondrejáková 	12.12.1996	bez obmedzenia
JUDr. Elena Ondrišová 	12.12.1996	bez obmedzenia
JUDr. Júlia Ondrišová 	12.12.1996	bez obmedzenia
Ľudmila Ostrolúcka 	12.12.1996	bez obmedzenia
Mgr. Michaela Pacherová 	20.3.1996	n/a
Mgr. Michaela Pacherová 	14.3.2000	bez obmedzenia
Mgr. Paulína Pacherová 	6.12.2000	4 - ročný mandát
JUDr. Peter Paluda 	19.5.1998	bez obmedzenia
Mgr. Zuzana Patková 	20.3.1996	n/a
Mgr. Zuzana Patková 	14.3.2000	bez obmedzenia
JUDr. Renáta Pátrovičová 	8.7.1998	bez obmedzenia
JUDr. Amália Paulerová 	12.12.1996	bez obmedzenia
JUDr. Mária Paulovičová 	12.12.1996	bez obmedzenia
Mgr. Soňa Pekarčíková 	14.3.2000	bez obmedzenia
JUDr. Mária Petrušková 	1.7.1996	n/a
JUDr. Mária Petrušková 	15.6.2000	bez obmedzenia
Mgr. Peter Philadelphy 	20.3.1996	n/a
Mgr. Peter Philadelphy 	14.3.2000	bez obmedzenia
JUDr. Hedviga Pikalíková 	26.3.1998	4 - ročný mandát
Mgr. Anna Pikulová 	19.5.1998	bez obmedzenia
JUDr. Pavol Pilek 	8.7.1998	bez obmedzenia
JUDr. Miriam Pintová 	12.12.1996	bez obmedzenia
Mgr. Ivica Pittnerová 	26.3.1998	4 - ročný mandát
JUDr. Barbara PLASKUROVÁ 	10.5.1995	n/a
JUDr. Rastislav Plutinský 	12.12.1996	4 - ročný mandát
JUDr. Rastislav Plutinský 	6.12.2000	bez obmedzenia
Mgr. Kornélia Podleiszeková 	26.3.1998	4 - ročný mandát
JUDr. Jarmila POGRANOVÁ 	10.5.1995	n/a
Mgr. Viliam Pohančeník 	8.7.1998	bez obmedzenia
JUDr. Anna Pohančeníková 	1.2.1996	n/a
JUDr. Anna Pohančeníková 	21.1.2000	bez obmedzenia
mjr. Mgr. Marián Poláček 	12.12.1996	4 - ročný mandát
JUDr. Mária POLÁČKOVÁ 	10.5.1995	n/a
JUDr. Veronika Poláčková 	20.3.1996	n/a
JUDr. Alena Poláčková 	19.5.1998	bez obmedzenia
JUDr. Veronika Poláčková 	14.3.2000	bez obmedzenia
JUDr. Taťána Poláková 	12.12.1996	bez obmedzenia
Mgr. Andreu Polákovú 	17.10.2000	bez obmedzenia
JUDr. Marta Polyáková 	12.12.1996	bez obmedzenia
JUDr. Tatiana Porubänová 	12.12.1996	bez obmedzenia
JUDr. Zuzana Posluchová 	19.5.1998	bez obmedzenia
Mgr. Ingrid Pospíšilová 	1.7.1996	n/a
Mgr. Ingrid Pospíšilová 	15.6.2000	bez obmedzenia
Mgr. Zlatica Potúčková 	1.2.1996	n/a
JUDr. Jana Pravotiaková 	12.12.1996	bez obmedzenia
Mgr. Lenka Praženková 	20.3.1996	n/a
Mgr. Ivana Pšenková 	12.12.1996	4 - ročný mandát
Mgr. Ivana Pšenková 	6.12.2000	bez obmedzenia
Mgr. Nora Puchelová 	26.3.1998	4 - ročný mandát
JUDr. Darina Puklušová 	12.12.1996	bez obmedzenia
JUDr. Peter Pulman 	12.12.1996	bez obmedzenia
JUDr. Iveta PUŠKÁŠOVÁ 	10.5.1995	n/a
JUDr. Adriana Pytliaková Dr.	8.7.1998	bez obmedzenia
JUDr. Marta Raábová 	8.7.1998	bez obmedzenia
JUDr. Miroslav Račko 	12.12.1996	bez obmedzenia
JUDr. Zuzana RIGÁŇOVÁ 	10.5.1995	n/a
JUDr. Viera Röthová 	19.5.1998	bez obmedzenia
Mgr. Ivan Rumana 	1.2.1996	n/a
Mgr. Ivan Rumana 	21.1.2000	bez obmedzenia
JUDr. Alica Ružbárska 	19.5.1998	bez obmedzenia
Mgr. Ľuboš Sádovský 	26.3.1998	4 - ročný mandát
JUDr. Vieru Sandtnerovú 	11.2.1997	bez obmedzenia
Mgr. Beáta SCHMIDTOVÁ 	10.5.1995	n/a
Mgr. Igor Schweighofer 	1.2.1996	n/a
JUDr. Viera SLÁVIKOVA 	10.5.1995	n/a
Mgr. Gabriel Slobodník 	1.2.1996	n/a
Mgr. Gabriel Slobodník 	21.1.2000	bez obmedzenia
Mgr. Katarína SLOVÁČEKOVÁ 	10.5.1995	n/a
Mgr. Marián Sninský 	26.3.1998	4 - ročný mandát
JUDr. Gabrielu Sobolovskú 	11.2.1997	bez obmedzenia
Mgr. Iveta Sonderlichová 	1.7.1996	n/a
Mgr. Angelika Sopoligová 	26.3.1998	4 - ročný mandát
JUDr. Ľubica SPÁLOVÁ 	10.5.1995	n/a
JUDr. Jana Sroková 	8.7.1998	bez obmedzenia
Mgr. Katarína Stanislavská 	20.3.1996	n/a
Mgr. Katarína Stanislavská 	14.3.2000	bez obmedzenia
JUDr. Jozef Stanko 	12.12.1996	bez obmedzenia
JUDr. Mária Stovičková 	12.12.1996	bez obmedzenia
JUDr. Peter Straka 	12.12.1996	bez obmedzenia
Mgr. Martin Stretavský 	19.5.1998	bez obmedzenia
JUDr. Vladimír SUČIK 	10.5.1995	n/a
Mgr. Eva SUCHOVÁ 	10.5.1995	n/a
JUDr. Daniela Sušelková 	12.12.1996	bez obmedzenia
JUDr. Edita Szabová 	12.12.1996	bez obmedzenia
Mgr. Eriku Szalaiovú 	11.2.1997	bez obmedzenia
JUDr. Blažena Szpyrcová 	8.7.1998	bez obmedzenia
JUDr. Marxa Šašinková 	1.7.1996	n/a
Mgr. Miroslava Šeptáka 	17.10.2000	bez obmedzenia
JUDr. Vojtech Ševčík 	12.12.1996	bez obmedzenia
JUDr. Jozef Škrab 	12.12.1996	bez obmedzenia
JUDr. Viera Škultétyová 	26.3.1998	4 - ročný mandát
JUDr. Ľudmila Škvaridlová 	12.12.1996	4 - ročný mandát
JUDr. Ľudmila Škvaridlová 	6.12.2000	bez obmedzenia
JUDr. Ján Škvarka 	12.12.1996	bez obmedzenia
Mgr. Ivanu Šlesárovú 	17.10.2000	bez obmedzenia
Mgr. Soňa Šoférová 	20.3.1996	n/a
JUDr. Ľudovít Šoltýs 	1.7.1996	n/a
JUDr. Ľudovít Šoltýs 	3.7.2000	bez obmedzenia
JUDr. Miroslava Štannerová 	12.12.1996	bez obmedzenia
Mgr. Róbert Štefánik 	12.12.1996	4 - ročný mandát
Mgr. Zuzana Štolcová 	19.5.1998	bez obmedzenia
Mgr. Ján Šulaj 	1.2.1996	n/a
Mgr. Ján Šulaj 	21.1.2000	bez obmedzenia
Mgr. Mário Šulej 	12.12.1996	4 - ročný mandát
Mgr. Mário Šulej 	6.12.2000	bez obmedzenia
Mgr. Miroslava Šúleková 	20.3.1996	n/a
Mgr. Miroslava Šúleková 	14.3.2000	bez obmedzenia
Mgr. Milan Švaňa 	12.12.1996	4 - ročný mandát
Mgr. Milan Švaňa 	6.12.2000	bez obmedzenia
JUDr. Zdenko Švárny 	12.12.1996	bez obmedzenia
JUDr. Klaudia Talašová 	1.7.1996	n/a
JUDr. Jana Tamášiová 	8.7.1998	bez obmedzenia
JUDr. Štefan Ťažký 	12.12.1996	bez obmedzenia
Mgr. Zuzana Tináková 	26.3.1998	4 - ročný mandát
Mgr. Peter Tobiáš 	19.5.1998	bez obmedzenia
JUDr. Pavol Toman 	19.5.1998	bez obmedzenia
JUDr. Zdenka TOMAŠKOVÁ 	10.5.1995	n/a
Mgr. Andrea Tomašovičová 	1.2.1996	n/a
Mgr. Andrea Tomašovičová 	21.1.2000	bez obmedzenia
JUDr. Štefan Tomašovský 	8.7.1998	bez obmedzenia
Mgr. Pavol Tomík 	8.7.1998	bez obmedzenia
Mgr. Nora Tomková 	12.12.1996	4 - ročný mandát
Mgr. Nora Tomková 	6.12.2000	bez obmedzenia
JUDr. Roman Tóth 	8.7.1998	bez obmedzenia
JUDr. Eva Tóthová 	12.12.1996	4 - ročný mandát
JUDr. Milota Tóthová 	12.12.1996	bez obmedzenia
JUDr. Mária Tóthová 	26.3.1998	4 - ročný mandát
JUDr. Eva Tóthová 	6.12.2000	bez obmedzenia
Mgr. Marián Trenčan 	1.7.1996	n/a
JUDr. Michal Truban 	1.2.1996	n/a
JUDr. Michal Truban 	21.1.2000	bez obmedzenia
JUDr. Jana Třešková 	12.12.1996	bez obmedzenia
JUDr. Igor Tubel 	12.12.1996	bez obmedzenia
pplk. JUDr. Sergej Tverďák 	19.5.1998	bez obmedzenia
JUDr. Mária Tvrdíková 	12.12.1996	bez obmedzenia
JUDr. Jarmila Urbancová 	1.2.1996	n/a
JUDr. Jarmila Urbancová 	21.1.2000	bez obmedzenia
JUDr. Katarína URBANOVÁ 	13.9.1995	n/a
Mgr. Michaelu Usačevovú 	11.2.1997	4 - ročný mandát
JUDr. Evu Valenčíkovú 	11.2.1997	bez obmedzenia
Igor Igor Valent 	8.7.1998	bez obmedzenia
Mgr. Ingrid VALLOVÁ 	10.5.1995	n/a
JUDr. Milan Vaľuš 	12.12.1996	bez obmedzenia
Mgr. Anna Vargová 	6.12.2000	4 - ročný mandát
JUDr. Beata VRŤOVÁ 	13.9.1995	n/a
JUDr. Gabriela Vyskočová 	12.12.1996	bez obmedzenia
JUDr. Nadežda Weisová 	8.7.1998	bez obmedzenia
Mária Zacková 	20.3.1996	n/a
Mária Zacková 	14.3.2000	bez obmedzenia
JUDr. Alena Záhumenská 	1.2.1996	n/a
JUDr. Alena Záhumenská 	21.1.2000	bez obmedzenia
JUDr. Valéria Zacharová 	12.12.1996	bez obmedzenia
JUDr. Katarína Zajacová 	19.5.1998	bez obmedzenia
JUDr. Erika Zajacová 	8.7.1998	bez obmedzenia
Mgr. Janka Záňová 	20.3.1996	n/a
Mgr. Janka Záňová 	14.3.2000	bez obmedzenia
JUDr. Elenu Zaťkovú 	11.2.1997	4 - ročný mandát
JUDr. Elena Závadská 	8.7.1998	bez obmedzenia
JUDr. František Zelený 	12.12.1996	bez obmedzenia
JUDr. Jana Zemková PhD.	8.7.1998	bez obmedzenia
JUDr. Viera Zoľáková 	12.12.1996	bez obmedzenia
Mgr. Frederika Zozuľáková 	26.3.1998	4 - ročný mandát
Mgr. Patrícia Železníková 	12.12.1996	4 - ročný mandát
Mgr. Patrícia Železníková 	6.12.2000	bez obmedzenia
Mgr. Magdaléna Želinská 	12.12.1996	bez obmedzenia
Dr. Ivan Žilík 	12.12.1996	bez obmedzenia
Mgr. Alica Žingorová 	14.3.2000	bez obmedzenia
Raul Pospíšil 	8.7.1998	bez obmedzenia
